Team,Win at Home,Win at Away,Win Total,Losses at Home,Losses away,Total Losses,Draw(Tie),Total Games
Kansas City Chiefs,41,36,77,13,9,22,,99
Buffalo Bills,36,27,63,13,16,29,,92
Green Bay Packers,34,25,59,11,20,31,,90
San Francisco 49ers,30,32,62,17,16,33,,95
Dallas Cowboys,30,21,51,13,23,36,,87
Baltimore Ravens,29,29,58,16,15,31,,89
Cleveland Browns,28,16,44,14,28,42,,86
Miami Dolphins,27,17,44,15,26,41,,85
Pittsburgh Steelers,27,21,48,15,22,37,1.0,86
Los Angeles Rams,27,24,51,16,23,39,,90
Tampa Bay Buccaneers,26,28,54,20,18,38,,92
Philadelphia Eagles,26,23,49,18,21,39,1.0,89
New Orleans Saints,25,26,51,19,16,35,,86
Minnesota Vikings,24,22,46,18,22,40,,86
Seattle Seahawks,24,25,49,18,20,38,,87
Cincinnati Bengals,24,18,42,20,26,46,1.0,89
Tennessee Titans,24,23,47,20,21,41,,88
Indianapolis Colts,21,19,40,21,22,43,1.0,84
New England Patriots,20,21,41,23,21,44,,85
Denver Broncos,20,12,32,22,29,51,,83
Detroit Lions,19,15,34,24,26,50,2.0,86
Los Angeles Chargers,18,18,36,24,24,48,,84
Atlanta Falcons,18,14,32,23,28,51,,83
Las Vegas Raiders,17,15,32,17,19,36,,68
New York Giants,17,13,30,23,31,54,1.0,85
Chicago Bears,17,15,32,24,28,52,,84
Jacksonville Jaguars,17,12,29,26,30,56,,85
Houston Texans,17,16,33,26,27,53,1.0,87
New York Jets,16,11,27,26,30,56,,83
Carolina Panthers,13,11,24,28,31,59,,83
Arizona Cardinals,12,20,32,28,23,51,1.0,84
Washington Football Team,6,8,14,11,9,20,,34
Oakland Raiders,5,2,7,3,6,9,,16
Washington Commanders,5,7,12,12,9,21,1.0,34
Washington Redskins,1,2,3,7,6,13,,16
